TerpenoidsID,Molecular Formula,Molecular Weight,Smiles
TPCN00168,C23H28O14,528.463,CC12CC(O)C3CC1(OC1OC(COC(=O)c4cc(O)c(O)c(O)c4)C(O)C(O)C1O)C3(CO)C(=O)O2
TPCN00169,C23H28N2O5,412.486,C=CC1C[N+]2([O-])CCc3c([nH]c4cccc(OC)c34)C2CC1C(=COC)C(=O)OC
TPCN00170,C15H24O10,364.347,OCC1OC(OC2OC=CC3CC(O)C(O)(CO)C32)C(O)C(O)C1O
TPCN00171,C16H26O6,314.378,C=C(COC1OC(CO)C(O)C(O)C1O)C1CC=C(C)CC1
TPCN00172,C20H26N2O2,326.44,CCC12CCCN3CCC4(C(=O)c5ccccc5N4C(OC)C1)C32
TPCN00173,C20H26N2O,310.441,CCC12CCCN3CCc4c(n(c5ccccc45)C(OC)C1)C32
TPCN00174,C16H30O8,350.408,CC(=CCOC1OC(CO)C(O)C(O)C1O)C(O)CCC(C)(C)O
TPCN00175,C21H26N2O3,354.45,CC=C1CN2CCc3c([nH]c4ccccc34)C2CC1C(CO)C(=O)OC
TPCN00176,C16H24O6,312.362,Cc1ccc(C(C)C)cc1OC1OC(CO)C(O)C(O)C1O
TPCN00177,C21H24N2O3,352.434,COc1cccc2c1NC13CCC45CCCN6CC(C(=O)C1(O)C4)C23C65
TPCN00178,C30H32O15,632.571,CC12CC(OC(=O)c3cc(O)c(O)c(O)c3)C3CC1(OC1OC(CO)C(O)C(O)C1O)C3(COC(=O)c1ccccc1)C(=O)O2
TPCN00179,C20H24N2O4,356.422,COC(=O)C1=C2Nc3c(O)cccc3C23CCN2CC(C(C)O)C1CC23
TPCN00180,C20H24N2O3,340.423,CC=C(CO)C1CC2c3[nH]c4ccccc4c3CCN2C(=O)C1CO
TPCN00181,C20H24N2O3,340.423,CC=C(CO)C1CC2c3[nH]c4ccccc4c3CCN2C(=O)C1CO
TPCN00182,C20H22O5,342.391,COc1cc2ccc(=O)oc2cc1OCC=C(C)CCC=C(C)C=O
TPCN00183,C19H26O10,414.407,CC(C)c1ccc(CO)c(OC2OC(COC(=O)CC(=O)O)C(O)C(O)C2O)c1
